batch,sub_batch,file,file_sample_size,file_size,cell_id,Phenograph_Leiden,UMAP1,UMAP2,Phenograph_Leiden_sub,TCF1,CD27,CCR7,CD127,CD45RA,CD122,CD95,CD45RO,CD57,GZMB,HLADR,LAG3,CD39,PD1,TIGIT,TIM3,CD25,CD69,CD70,EGFRt,type,PTID,gate
PRE,PRE_3,LOW_X680_CD8,1863,1863,98100,1,3.0595583653755036,1.7786545940323513,3,2.7321591519181734,2.362972584407712,0.27096399703087815,1.6188264951280311,0.299127107000705,0.33782908322618727,1.1156081793742556,0.8611232443870351,0.3006883934933277,0.3903497805685853,-0.013075244907412,0.9101429264933736,0.20365921984776195,1.196853655308254,-0.35845514842202697,-0.5449001472354738,0.5792705203627614,-0.4019078913960892,0.2072811473781091,-0.04750906516724307,LOW,X680,CD8
PRE,PRE_3,LOW_X680_CD8,1863,1863,17635,1,3.678713772327408,1.148845333664004,1,2.9125950182903924,2.716017912101912,1.7290199564018414,0.4897528661273193,1.004709771284148,-0.20580741499528063,1.3810257051421777,0.6387603582071693,0.39035616460355993,0.2901214713136724,0.02474657134065059,1.392584367100379,-0.4246241690691045,0.3870591565973173,0.0941111914500462,-0.358751243310928,-0.10795619675213086,-0.4596320855168348,0.21617732599573067,0.5484772221559845,LOW,X680,CD8
PRE,PRE_3,LOW_X680_CD8,1863,1863,17486,1,2.407506678134903,3.9025676437302272,5,2.3037715547257385,0.20962437033491751,0.5446651334188911,0.4162048965903874,-0.06017133337577204,0.13341079699348377,2.3341229277575595,1.281344209381541,0.3889551673622786,0.26194117032345066,0.19732044152942535,1.3119470935986195,0.01371319801261095,0.4818171173771608,0.23238000425891855,-0.21133472681764168,0.3314891722548746,0.02242005580715989,0.1171208467456368,1.1778780470556671,LOW,X680,CD8
PRE,PRE_3,LOW_X680_CD8,1863,1863,17771,1,3.223891232044205,2.461405057518069,3,3.1446349138040173,2.3070516311150997,1.4225040258366146,1.7117278433742689,-0.01266778539039129,0.10744483735409135,1.0645861179746687,2.1317719752726942,0.34267760479009574,0.26240538999599494,-0.04526019088592437,0.8895213729665479,0.30111908556574335,0.05167537158456069,-0.08649154083702466,-0.07053727936458633,-0.3780003149621755,0.22961549815879165,0.03977496150524247,0.7674151557039205,LOW,X680,CD8
PRE,PRE_3,LOW_X680_CD8,1863,1863,101410,1,3.315396997959122,2.8382084556503933,7,2.8636022613923653,1.9851037849537712,1.7285339867055176,0.61219650020446,0.16977817746178306,-0.1777137106875292,0.9786659710021044,1.7112860720946903,0.2733447615311892,0.4941417467390256,0.06281621985671779,1.338613587280084,-0.07460793496201895,-0.9613728696965078,0.4433964054934555,-0.4949778813302552,0.7518525529863321,-0.43810696751409967,0.1311176068870223,0.5114071553462,LOW,X680,CD8
PRE,PRE_3,LOW_X680_CD8,1863,1863,16403,1,1.899669263393387,3.0352971740647,6,2.3403368119302344,1.8700896949801171,0.11519936158807798,1.486066160141624,0.00745543010561249,0.1434087681682028,1.359027973312741,2.0813892213115044,0.8519891865291636,0.12666692032128055,-0.03378466710442801,0.447809184218614,0.12188832573293223,-0.06964339594697169,0.11914510404633076,0.2088640822730408,-0.3980821247565288,0.922044473303744,0.12064710502988388,0.15560555895463488,LOW,X680,CD8
PRE,PRE_3,LOW_X680_CD8,1863,1863,88911,1,1.9205603337592927,3.143219012825076,8,2.2632576844776304,0.8171637287784165,0.28080763938102904,1.3146811661109343,-0.06355664774331937,0.3033646141965857,0.9232483304131516,1.6291770414155091,0.20850014820872176,0.3322927528872119,0.00307497652566256,0.04926754967923279,-0.07622666591038098,0.6816272757774505,-0.16390223993547529,-0.19132603037966717,-0.18556569135192327,-0.1151892359733765,0.07712859232339149,0.8915593511569313,LOW,X680,CD8
PRE,PRE_3,LOW_X680_CD8,1863,1863,80100,1,3.3048159814185945,1.281380791275088,1,3.015088382713751,2.159240490386191,0.9502271416222317,0.5049645160292409,0.5477624228693578,0.4242116852541166,1.23394097469552,0.7541651814010479,0.25671724805429275,0.2676929116843932,0.0815720279393108,0.03715865780057782,0.2405227659501526,0.7323187873749545,-0.7835607609152302,-0.27497921755631266,-0.31835540562171205,-0.03067209137010321,0.08654267228980995,0.2718192177456025,LOW,X680,CD8
PRE,PRE_3,LOW_X680_CD8,1863,1863,57612,1,2.7031481004066316,2.2393768020554226,11,2.085871760043491,2.113492424517253,0.12347155036878556,1.5017998309092813,0.43767685243388976,0.3728060136782618,0.967534382275566,0.8291029338862625,0.2972086755171356,0.37318155340547543,0.03818351310956552,1.0347872955251862,0.6751553335430709,0.14411105769119553,-0.31623202131132616,-0.42821505103392304,0.4212081389721097,-0.2944550320208349,0.10151188662970664,-0.19013349282505584,LOW,X680,CD8
PRE,PRE_3,LOW_X680_CD8,1863,1863,13925,1,2.9892527795142976,1.3179223724289575,1,2.575440272858353,1.6861934218418002,1.064426301421185,0.5224647983433153,0.38975433664220616,-0.04532593586652419,1.2063802298488633,0.5356993748259485,0.22675799101680288,1.5102181139174615,0.04585553038928319,-0.17337010464633215,0.08541940078648005,0.6773609557013373,-0.073500278721162,-0.4104996880681328,-0.6511319816799676,-0.00531364706069929,0.2231345597847571,0.6089990744319926,LOW,X680,CD8
