batch,sub_batch,file,file_sample_size,file_size,cell_id,Phenograph_Leiden,UMAP1,UMAP2,Phenograph_Leiden_sub,TCF1,CD27,CCR7,CD127,CD45RA,CD122,CD95,CD45RO,CD57,GZMB,HLADR,LAG3,CD39,PD1,TIGIT,TIM3,CD25,CD69,CD70,EGFRt,type,PTID,gate
PRE,PRE_2,HIGH_X475_CD8,3374,3374,45617,1,5.754349925286758,-4.285250905107976,11,3.4050483600917265,2.657494072998131,2.0684787708775754,1.5514796368084431,1.8470534988167449,-0.18008259229174076,0.6665619986923208,0.4881895762746735,0.34844484647407004,0.1817445944986864,0.04641230065363892,0.9602476981776792,0.9513541675694386,0.4389403307654911,-0.4846097142809094,-0.9550009685852684,-0.24027915279475537,-0.18080039768015432,0.01633511565671279,0.4566441429581548,HIGH,X475,CD8
PRE,PRE_2,HIGH_X475_CD8,3374,3374,21596,1,4.861523368127334,-4.11695981318903,9,3.1315413591346033,2.1370094964251583,2.3139499862886397,1.3913195330722985,1.4664461559001294,-0.26066173420664185,0.848855946823386,0.4668381080299008,0.30138722163791243,0.4344641260694651,0.02386455092788435,0.536819653618338,0.27828778485795475,0.13416184496248101,-0.06811771996022242,-0.7433207522257625,-0.3084880312223809,-0.31357944787823677,0.06329673752462289,0.7070319637368015,HIGH,X475,CD8
PRE,PRE_2,HIGH_X475_CD8,3374,3374,23586,1,6.255311228997695,-4.216598036837102,7,2.9751205356924424,2.749230041115213,1.3841426620134902,0.9761515535345536,2.078486953590005,-0.2748802883650639,-0.18193365481316812,0.539597023178236,0.26917356719789626,0.3391056338014288,-0.01123797349637541,0.6378620877055037,1.1016607395740516,0.9949595396892672,-0.7736328635796808,-0.9662356540809734,-0.2231062452830366,0.21711615994187633,-0.12526725293742402,-0.2842930099961905,HIGH,X475,CD8
PRE,PRE_2,HIGH_X475_CD8,3374,3374,22066,1,5.839979865319717,-3.2560672789330485,10,3.031660083658117,2.809793399948116,1.113197244436918,1.5165633644850665,1.8695493803969312,0.03865925774944566,0.6224610161977555,0.5142681195039428,0.17579600712871513,0.3188629254699592,0.03906490257532082,1.198356077564002,0.786309355717379,0.8075679659704006,-1.0312367695891342,-0.4042366218263029,-0.03620550660485452,0.04251007602439601,-0.02455100608366348,-0.4987950392883891,HIGH,X475,CD8
PRE,PRE_2,HIGH_X475_CD8,3374,3374,24296,1,4.118093707330215,-4.451725724291325,1,3.0097817340829818,2.3553957635623584,1.878921676070122,1.231257287660231,1.797417387277286,-0.2862158344975699,0.6777256622005335,0.4367727980702127,0.300102615970307,0.2525556783913941,-0.02322892139295315,0.9373070266052788,0.5142597138928441,-0.5615816025740021,0.3258051997940879,-0.8193299282747413,0.01715267184920621,0.14268329308925265,0.21956294604109988,0.07611860401489627,HIGH,X475,CD8
PRE,PRE_2,HIGH_X475_CD8,3374,3374,18606,1,4.602320887811172,-4.050007346224309,5,2.431945001890496,2.3928886331959984,1.5835759583791569,0.5939768082061233,2.0500682388828455,-0.43943712454882833,0.5355496574566116,0.5177351834995744,0.14892873376422677,0.40392457570249474,0.00116703952682861,0.2844107460801255,0.8378562736862398,0.05981622413895746,-0.02512275774267584,-1.0778645821752637,0.10456751128700176,-0.3842698070028703,-0.06809976388195985,-0.6794644886821873,HIGH,X475,CD8
PRE,PRE_2,HIGH_X475_CD8,3374,3374,104616,1,5.424296595818984,-4.148641350817204,11,3.120464111980693,2.150931745305614,1.5243218294400518,0.48670456509132654,1.93421619149808,-0.17131903754519198,-0.00455218745633984,0.4224267704133807,0.2732709956884018,0.3222133725631706,0.02614374513928133,1.0657089885965512,0.2881026824372173,0.153285833560807,-0.619060947990882,-0.3666937150293985,-0.3449214219146455,0.1966868863504499,0.19107805919862436,-0.12266811800524882,HIGH,X475,CD8
PRE,PRE_2,HIGH_X475_CD8,3374,3374,191010,1,4.329986312158096,-4.274827244829655,1,2.784246412301634,2.14579280344211,2.1492071063223133,0.7151476545592587,1.331565406121903,-0.04491906635797559,0.4194638767823094,0.5505394617785835,0.33890091683342166,0.6751882351818609,0.04081203628437122,0.3018872211162984,0.7728111998598197,-0.5465391804330747,-0.02526005472111012,-0.850608317985894,-0.10817042169870464,-0.17405878411560213,0.04094451047420316,-0.38551045127885,HIGH,X475,CD8
PRE,PRE_2,HIGH_X475_CD8,3374,3374,181010,1,6.100150325067031,-4.243175509523869,11,3.00043806040208,2.4445836243176817,1.9169565401491393,1.520489706922335,2.1844019518226867,-0.17778330240092108,0.2662705578078062,0.46664028250002143,0.3247812993442999,0.422579555565516,0.00403065829851472,0.5446373781379211,0.8442450192838555,0.672863229767643,-0.6733957317399042,-1.02109646119034,-0.18173222107328055,0.0137647554558157,0.1812093749424493,-0.46770895470827634,HIGH,X475,CD8
PRE,PRE_2,HIGH_X475_CD8,3374,3374,22046,1,4.684513785607803,-4.57817340190363,11,3.527424458120034,2.7636780970817925,2.334138700114555,0.35440455437932594,2.0800696557330083,-0.3648535325773401,0.282630102829599,0.6479411973338844,0.2101485339145229,0.3497677091251532,0.02915429668413783,0.9270798845054176,0.7771701876911092,-0.2615617606237617,0.1621032706078648,-1.0629573241516312,-0.5775250633537545,0.34600693920431574,0.14345836695359532,0.42328779540474,HIGH,X475,CD8
