batch,sub_batch,file,file_sample_size,file_size,cell_id,Phenograph_Leiden,UMAP1,UMAP2,Phenograph_Leiden_sub,TCF1,CD27,CCR7,CD127,CD45RA,CD122,CD95,CD45RO,CD57,GZMB,HLADR,LAG3,CD39,PD1,TIGIT,TIM3,CD25,CD69,CD70,EGFRt,type,PTID,gate
PRE,PRE_1,MED_X590_CD8,1307,1307,63515,1,-6.909221002683454,-0.6593502551060345,11,3.032768005554794,2.2240041967764843,1.4247085188069757,1.0289143862553485,1.1934917182209197,-0.13981727917119646,0.7933920908742101,0.46502074018341183,0.09928745356311566,0.35925109465369265,0.02469293528360716,0.7694171289382679,0.5222804718314215,-0.15980115871778663,-0.15960095333542257,-0.7050966854217484,-0.6046885810546874,0.07777893096227985,0.01069783881825878,0.1421729599136657,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,65414,1,-6.49546463213902,-3.0855234056454326,3,3.0451812510873277,2.8715324733965697,1.7665051560059002,0.6661655593777127,2.0388377548253653,-0.01701542762646785,0.25345612754205393,0.6033613308405631,0.2651170350330313,0.41910136421609345,0.05121124002680609,0.12745043813895646,1.1115353842579976,1.585368180565715,-1.4467710671512275,-1.063545999995818,-0.2952135424090444,-0.4027158834992486,0.11016861886976342,-0.6787416721218327,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,26516,1,-7.521808454618268,-1.1341659813862468,1,2.7548095992544015,2.371933713368213,1.738928505141477,0.6682568512913295,2.2182619524823735,-0.12818710328058425,0.2384077341156516,0.5172503013021721,0.2674835925849974,0.48885467423215245,0.12975295042062915,0.546503142905324,0.9777858230025724,0.08815036716847822,-0.11646249251018022,-1.1304725378645009,-0.409889711122643,0.02892520945408507,0.08647311612861192,-0.0035256691846588,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,14616,1,-6.897807428464704,-2.980793753240647,5,2.338793982327444,2.580292575550778,2.1111527329200994,0.8937980410764088,2.5115917122779186,-0.16394772425389476,-0.25640202640378995,0.44328433061040207,0.23664229981006688,0.29520417764512064,0.02663044803931567,0.34151223112216655,1.2478138651315474,1.6605133880357883,-1.2220146995349577,-1.2997850052019406,-0.11994199262555998,0.3465963345710816,-0.04482504481920504,-0.14869475195339332,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,18716,1,-6.464205095395856,-2.310391703222337,10,3.237965250320918,2.4244723177937333,1.7023179088437483,1.2709435326922056,2.1792675815309908,-0.1685811611664826,0.44977459549324167,0.44851058097258656,0.2091844506995827,0.37787653961703327,-0.00495656495318833,-0.01376443886593434,1.0665838666871348,0.6185539225152427,-0.8973615704291954,-1.0864291701201458,-0.01737984135471969,0.05000163059051021,-0.00438675188738778,-0.7226662277487794,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,59215,1,-5.878257581815534,-2.1216626554470683,3,3.0907198902791957,2.1691899221923614,1.1716117304269864,0.7741115589967154,2.135814022070697,-0.00871360242575304,1.059200712287056,0.4278217499591141,0.17656039930878167,0.7497818073009257,0.04755672808939243,0.14790008518526992,0.910386864330804,1.0578417774020497,-0.593100818189599,-0.6560078390795322,0.31795372693686536,-0.4762061253507306,0.13339307164754494,0.18072306649224468,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,30216,1,-7.550339529142194,-0.2409050926309254,2,2.560301492897329,2.228116462627304,1.514545864020192,1.0101682720634266,1.7956489732926693,-0.23160873857282008,0.4527504189183138,0.4128056414796218,0.3347066613025699,0.4368813360976226,0.04508829802990862,0.7112511827560808,0.8495739188258252,-0.5560927690163018,0.5616717972687031,-0.49436946491545086,-0.7759463163043575,0.4077869077547384,-0.09327439003567294,-0.14791289947663677,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,56715,1,-6.625548193082624,-1.909615197752061,10,2.9320817361207414,2.4263199202545285,1.704373759090399,0.6758515731464436,2.2459883530789675,-0.08194615826383664,0.5893101508896643,0.423558502462742,0.26112364695764295,0.4081524555412444,-0.0129255116197671,-0.1341860887902801,1.0438937263376136,0.3763356544943286,-0.7611961268715619,-0.9392948287988055,-0.5321946417895433,0.31415711340292807,0.0111598750104604,0.4866351110183872,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,66214,1,-6.050709077939802,-2.143082657430711,9,3.267119517101916,2.593935389952416,1.1591477125741672,1.128148926328929,2.3504926064864216,-0.02585742428328504,0.9105999894343848,0.5011435399565105,1.2283458469481656,0.22168115295226865,0.01497612983142039,-0.05143857496242406,1.3542824903535988,0.8719457161449655,-0.6715651703357762,-0.5637965026937896,0.2026344332373761,-0.2462252339792581,0.00837835332473539,-0.09811739679903286,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,99813,1,-6.972212144956403,-2.931699791524949,5,3.2306721327067884,2.526703650585991,2.038919852085933,1.0927414188095137,1.8404321717375332,0.00875783119924968,0.7642867272145643,0.4587419531340111,0.32061396210634796,0.2652499874369858,0.01455342098686893,0.6235130006096888,1.0577807789741789,1.2055913814989212,-1.2196733535278623,-0.5619949302705648,-0.724710952873547,0.35351011470164145,0.01196635870045416,0.04975873823575659,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,82113,1,-6.708631822690778,-3.0414112001400615,3,2.6710161388970333,2.021683522597129,2.521693851244945,0.671503570423215,2.2326696992550907,0.00292368305438189,0.5409645138200365,0.5677601730340436,0.31657455469633516,0.8048255682386578,0.08797219873393083,0.4856783660770331,0.9516322137955602,1.3891108256047846,-0.9279447210240428,-1.325301725132871,-0.29126218445624796,-0.4150951680020672,-0.02522571622046682,-0.15663109130991673,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,108113,1,-7.017769643888288,-1.59773115215117,10,2.9331843079967057,2.3820087040748903,1.2005195991249815,0.3921666728161998,1.9437005123332425,-0.6012845354238499,0.3587042793384661,0.58967308052513,0.13706259698566622,0.5249672976716893,0.02381729008816013,0.11947782370172633,1.2983920266912994,0.7186974464188771,-0.23833968457861865,-1.4189657368008768,-0.8811286420434148,0.14167763646172798,-0.10825922617213604,0.01148027379178984,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,91103,1,-7.534087488279157,-2.0729856878262187,10,2.636764368197498,2.5164706034316557,1.7722820123028786,1.2193190344307214,2.500568696489618,0.06482377729046891,0.23676638112607243,0.4224932955940166,0.1642106363958909,0.2435136820250516,0.00727488331493195,0.96864863491871,1.2159692921141512,0.4680014849615794,-0.7426755290900362,-0.8788472156952654,-0.46491730673794807,0.17665030725110048,-0.04547957082181213,-0.6449558449612882,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,44105,1,-7.59388525210362,-0.8595821648579266,1,3.0170538280816945,2.2950718077536076,1.4669273878443418,0.6264036632189622,2.6172639797569284,-0.4324313363193432,0.6033659390901974,0.4167281471007146,0.2314349652077563,0.13995504345627197,-0.01203149886790247,0.69354625386525115,1.337113188464227,-0.04600639381957648,0.15071304765454824,-0.92744711212066,-0.3589681732005884,-0.0122262521764502,0.04938028178398952,-0.5802876055448098,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,45515,1,-7.2168205472086,-2.8048415571194316,5,2.974758342879142,2.449009004076976,1.766601752831526,0.9018887045450836,2.510577145813933,-0.11174973387749323,0.19386283534604176,0.4044458655359827,0.19155144546251057,0.7158173531335967,0.06787205191340316,0.7353953959431166,1.2044540678234712,1.1234888810754289,-0.9868568930325132,-0.669138962673983,-0.4319603576237877,0.34685852262371253,-0.02504566026489036,-0.34762306122395226,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,38715,1,-7.106657335386091,-2.9689460187893535,3,3.09426222128002,2.747796899480604,2.3379870669134433,0.8103540652908447,2.2404787503279597,-0.00977524543505441,0.7128816971796805,0.6002554423117384,0.33728439202811566,0.5870755524281039,0.03954596097890159,0.7625874556312935,1.206995880604362,1.1672376762156706,-0.6386138086459161,-1.1861130130025008,-0.03777781389218383,-0.3125823011550157,-0.01703440299531372,-0.4151436354861068,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,12164,1,-7.064938852414899,-2.897714415166917,5,2.2759041669821416,2.458213930732152,1.7284569800172254,0.4845252519745003,2.2283134181432493,0.27384897551305754,-0.3724997093869557,0.4850748308444595,0.19410160486000844,0.6247083191983605,-0.00658726124447856,0.9127632847842412,0.8348152381953212,1.5247638094373066,-1.0042753758537732,-1.2620126022643017,-0.5973294895065879,-0.0586298605507444,0.0907221269153565,-0.11342071947682338,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,69714,1,-6.598247358426862,-0.7498411625366833,4,3.3963238746263578,2.437860751466172,1.6917128845910618,0.95477946539279,1.6539156954613294,0.12768238922801137,0.9440885787501074,0.42769922092887874,0.2586533042866596,0.2751489443365273,0.02466420410395404,-0.23764043402786755,1.1251794815325624,-0.03883472161962365,-0.31583164982641837,-0.8887683631541072,0.02003916515427269,-0.4501248866797837,0.08675253918865515,0.19939172722465137,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,99713,1,-7.639753172025495,-1.0474308520298623,1,2.833990300425143,2.711188420609274,2.3596210639443336,1.65262092205051,2.166411064838906,0.2004515167851433,0.13643601342927253,0.5252088945540031,0.2458227031279513,0.23875241079660872,0.01992250766087562,0.40706379336201853,0.958562354867835,-0.3801203088960313,-0.627387034040465,-0.9989187648646468,-0.4596431902703012,-0.01926454783330743,-0.03047697307283291,-0.1823736915786394,MED,X590,CD8
PRE,PRE_1,MED_X590_CD8,1307,1307,117113,1,-6.087302991971784,-2.555751123998704,9,2.6270651098425923,2.352258858066179,1.2589813688639866,0.8936308177969748,1.763763247814872,-0.05575446901128801,0.24176389431597745,0.4718742039714426,0.21126807953928564,0.5814061526790253,-0.00501697819838117,-0.17333565049420385,0.6673534127451365,1.2153053126528863,-1.0541513317832003,-0.4772350204038284,-0.6564444121887693,0.18427528693716197,0.05823401018314717,0.1094205687589928,MED,X590,CD8
